,,X,Y,Z,Ycog,Zcog,radius,phi,Nx,Ny,Nz,innerWall,Dwall_normal,Corrupted,radius_out,Dwall,Dwall_projection
,,,,,,,129.672754,-3.141593,,,,,,,,,,
,,,,,,,129.703347,-3.124091,,,,,,,,,,
,,,,,,,129.730928,-3.106589,,,,,,,,,,
,,,,,,,129.754051,-3.089087,,,,,,,,,,
,,,,,,,129.754051,-3.071585,,,,,,,,,,
,,,,,,,129.743298,-3.054083,,,,,,,,,,
,,,,,,,129.723545,-3.036581,,,,,,,,,,
,,,,,,,129.711402,-3.019079,,,,,,,,,,
,,,,,,,129.704827,-3.001577,,,,,,,,,,
,,,,,,,129.706060,-2.984075,,,,,,,,,,
,,,,,,,129.700085,-2.966574,,,,,,,,,,
,,,,,,,129.699869,-2.949072,,,,,,,,,,
,,,,,,,129.704932,-2.931570,,,,,,,,,,
,,,,,,,129.705606,-2.914068,,,,,,,,,,
,,,,,,,129.705755,-2.896566,,,,,,,,,,
,,,,,,,129.703021,-2.879064,,,,,,,,,,
,,,,,,,129.698332,-2.861562,,,,,,,,,,
,,,,,,,129.700741,-2.844060,,,,,,,,,,
,,,,,,,129.702483,-2.826558,,,,,,,,,,
,,,,,,,129.708791,-2.809056,,,,,,,,,,
,,,,,,,129.711818,-2.791554,,,,,,,,,,
,,,,,,,129.718164,-2.774053,,,,,,,,,,
,,,,,,,129.731489,-2.756551,,,,,,,,,,
,,,,,,,129.741175,-2.739049,,,,,,,,,,
,,,,,,,129.755670,-2.721547,,,,,,,,,,
,,,,,,,129.779002,-2.704045,,,,,,,,,,
,,,,,,,129.800710,-2.686543,,,,,,,,,,
,,,,,,,129.815695,-2.669041,,,,,,,,,,
,,,,,,,129.835602,-2.651539,,,,,,,,,,
,,,,,,,129.848393,-2.634037,,,,,,,,,,
,,,,,,,129.850471,-2.616535,,,,,,,,,,
,,,,,,,129.845938,-2.599033,,,,,,,,,,
,,,,,,,129.840423,-2.581532,,,,,,,,,,
,,,,,,,129.826980,-2.564030,,,,,,,,,,
,,,,,,,129.811125,-2.546528,,,,,,,,,,
,,,,,,,129.800882,-2.529026,,,,,,,,,,
,,,,,,,129.800882,-2.511524,,,,,,,,,,
,,,,,,,129.812206,-2.494022,,,,,,,,,,
,,,,,,,129.846219,-2.476520,,,,,,,,,,
,,,,,,,129.869784,-2.459018,,,,,,,,,,
,,,,,,,129.891838,-2.441516,,,,,,,,,,
,,,,,,,129.913827,-2.424014,,,,,,,,,,
,,,,,,,129.948436,-2.406512,,,,,,,,,,
,,,,,,,129.980116,-2.389011,,,,,,,,,,
,,,,,,,130.007200,-2.371509,,,,,,,,,,
,,,,,,,130.047426,-2.354007,,,,,,,,,,
,,,,,,,130.091399,-2.336505,,,,,,,,,,
,,,,,,,130.134422,-2.319003,,,,,,,,,,
,,,,,,,130.149278,-2.301501,,,,,,,,,,
,,,,,,,130.175255,-2.283999,,,,,,,,,,
,,,,,,,130.193089,-2.266497,,,,,,,,,,
,,,,,,,130.202692,-2.248995,,,,,,,,,,
,,,,,,,130.218121,-2.231493,,,,,,,,,,
,,,,,,,130.237106,-2.213991,,,,,,,,,,
,,,,,,,130.250974,-2.196490,,,,,,,,,,
,,,,,,,130.259221,-2.178988,,,,,,,,,,
,,,,,,,130.267471,-2.161486,,,,,,,,,,
,,,,,,,130.272447,-2.143984,,,,,,,,,,
,,,,,,,130.272869,-2.126482,,,,,,,,,,
,,,,,,,130.272609,-2.108980,,,,,,,,,,
,,,,,,,130.269958,-2.091478,,,,,,,,,,
,,,,,,,130.269003,-2.073976,,,,,,,,,,
,,,,,,,130.265453,-2.056474,,,,,,,,,,
,,,,,,,130.255767,-2.038972,,,,,,,,,,
,,,,,,,130.242454,-2.021470,,,,,,,,,,
,,,,,,,130.237745,-2.003969,,,,,,,,,,
,,,,,,,130.232733,-1.986467,,,,,,,,,,
,,,,,,,130.225583,-1.968965,,,,,,,,,,
,,,,,,,130.218792,-1.951463,,,,,,,,,,
,,,,,,,130.210758,-1.933961,,,,,,,,,,
,,,,,,,130.203113,-1.916459,,,,,,,,,,
,,,,,,,130.192778,-1.898957,,,,,,,,,,
,,,,,,,130.184509,-1.881455,,,,,,,,,,
,,,,,,,130.181624,-1.863953,,,,,,,,,,
,,,,,,,130.176300,-1.846451,,,,,,,,,,
,,,,,,,130.170318,-1.828949,,,,,,,,,,
,,,,,,,130.161429,-1.811448,,,,,,,,,,
,,,,,,,130.156017,-1.793946,,,,,,,,,,
,,,,,,,130.148419,-1.776444,,,,,,,,,,
,,,,,,,130.151773,-1.758942,,,,,,,,,,
,,,,,,,130.152118,-1.741440,,,,,,,,,,
,,,,,,,130.138959,-1.723938,,,,,,,,,,
,,,,,,,130.128660,-1.706436,,,,,,,,,,
,,,,,,,130.121797,-1.688934,,,,,,,,,,
,,,,,,,130.115285,-1.671432,,,,,,,,,,
,,,,,,,130.103406,-1.653930,,,,,,,,,,
,,,,,,,130.098086,-1.636428,,,,,,,,,,
,,,,,,,130.089796,-1.618927,,,,,,,,,,
,,,,,,,130.084112,-1.601425,,,,,,,,,,
,,,,,,,130.076548,-1.583923,,,,,,,,,,
,,,,,,,130.072408,-1.566421,,,,,,,,,,
,,,,,,,130.071526,-1.548919,,,,,,,,,,
,,,,,,,130.076015,-1.531417,,,,,,,,,,
,,,,,,,130.082372,-1.513915,,,,,,,,,,
,,,,,,,130.088149,-1.496413,,,,,,,,,,
,,,,,,,130.086768,-1.478911,,,,,,,,,,
,,,,,,,130.089844,-1.461409,,,,,,,,,,
,,,,,,,130.096574,-1.443907,,,,,,,,,,
,,,,,,,130.112009,-1.426406,,,,,,,,,,
,,,,,,,130.122789,-1.408904,,,,,,,,,,
,,,,,,,130.130861,-1.391402,,,,,,,,,,
,,,,,,,130.142904,-1.373900,,,,,,,,,,
,,,,,,,130.165264,-1.356398,,,,,,,,,,
,,,,,,,130.202208,-1.338896,,,,,,,,,,
,,,,,,,130.228592,-1.321394,,,,,,,,,,
,,,,,,,130.241607,-1.303892,,,,,,,,,,
,,,,,,,130.231913,-1.286390,,,,,,,,,,
,,,,,,,130.216112,-1.268888,,,,,,,,,,
,,,,,,,130.183023,-1.251386,,,,,,,,,,
,,,,,,,130.139041,-1.233885,,,,,,,,,,
,,,,,,,130.111373,-1.216383,,,,,,,,,,
,,,,,,,130.084169,-1.198881,,,,,,,,,,
,,,,,,,130.068231,-1.181379,,,,,,,,,,
,,,,,,,130.057577,-1.163877,,,,,,,,,,
,,,,,,,130.051245,-1.146375,,,,,,,,,,
,,,,,,,130.044243,-1.128873,,,,,,,,,,
,,,,,,,130.046561,-1.111371,,,,,,,,,,
,,,,,,,130.042928,-1.093869,,,,,,,,,,
,,,,,,,130.041795,-1.076367,,,,,,,,,,
,,,,,,,130.044740,-1.058865,,,,,,,,,,
,,,,,,,130.050786,-1.041364,,,,,,,,,,
,,,,,,,130.053671,-1.023862,,,,,,,,,,
,,,,,,,130.051819,-1.006360,,,,,,,,,,
,,,,,,,130.048757,-0.988858,,,,,,,,,,
,,,,,,,130.048204,-0.971356,,,,,,,,,,
,,,,,,,130.046028,-0.953854,,,,,,,,,,
,,,,,,,130.040632,-0.936352,,,,,,,,,,
,,,,,,,130.040444,-0.918850,,,,,,,,,,
,,,,,,,130.043138,-0.901348,,,,,,,,,,
,,,,,,,130.047172,-0.883846,,,,,,,,,,
,,,,,,,130.051954,-0.866344,,,,,,,,,,
,,,,,,,130.053228,-0.848843,,,,,,,,,,
,,,,,,,130.061366,-0.831341,,,,,,,,,,
,,,,,,,130.069430,-0.813839,,,,,,,,,,
,,,,,,,130.075673,-0.796337,,,,,,,,,,
,,,,,,,130.082359,-0.778835,,,,,,,,,,
,,,,,,,130.085298,-0.761333,,,,,,,,,,
,,,,,,,130.086312,-0.743831,,,,,,,,,,
,,,,,,,130.088431,-0.726329,,,,,,,,,,
,,,,,,,130.095966,-0.708827,,,,,,,,,,
,,,,,,,130.105513,-0.691325,,,,,,,,,,
,,,,,,,130.107672,-0.673823,,,,,,,,,,
,,,,,,,130.113657,-0.656322,,,,,,,,,,
,,,,,,,130.125689,-0.638820,,,,,,,,,,
,,,,,,,130.131941,-0.621318,,,,,,,,,,
,,,,,,,130.137498,-0.603816,,,,,,,,,,
,,,,,,,130.155908,-0.586314,,,,,,,,,,
,,,,,,,130.163078,-0.568812,,,,,,,,,,
,,,,,,,130.162589,-0.551310,,,,,,,,,,
,,,,,,,130.166080,-0.533808,,,,,,,,,,
,,,,,,,130.171171,-0.516306,,,,,,,,,,
,,,,,,,130.176633,-0.498804,,,,,,,,,,
,,,,,,,130.178232,-0.481302,,,,,,,,,,
