,,X,Y,Z,Ycog,Zcog,radius,phi,Nx,Ny,Nz,innerWall,Dwall_normal,Corrupted,radius_out,Dwall,Dwall_projection
,,,,,,,130.151531,-3.141593,,,,,,,,,,
,,,,,,,130.169628,-3.124091,,,,,,,,,,
,,,,,,,130.141834,-3.106589,,,,,,,,,,
,,,,,,,130.048792,-3.089087,,,,,,,,,,
,,,,,,,129.959078,-3.071585,,,,,,,,,,
,,,,,,,129.943828,-3.054083,,,,,,,,,,
,,,,,,,129.975920,-3.036581,,,,,,,,,,
,,,,,,,129.974157,-3.019079,,,,,,,,,,
,,,,,,,129.942611,-3.001577,,,,,,,,,,
,,,,,,,129.892244,-2.984075,,,,,,,,,,
,,,,,,,129.895553,-2.966574,,,,,,,,,,
,,,,,,,129.930210,-2.949072,,,,,,,,,,
,,,,,,,129.972828,-2.931570,,,,,,,,,,
,,,,,,,129.999434,-2.914068,,,,,,,,,,
,,,,,,,130.018504,-2.896566,,,,,,,,,,
,,,,,,,130.026148,-2.879064,,,,,,,,,,
,,,,,,,130.026056,-2.861562,,,,,,,,,,
,,,,,,,130.019894,-2.844060,,,,,,,,,,
,,,,,,,130.004466,-2.826558,,,,,,,,,,
,,,,,,,129.991874,-2.809056,,,,,,,,,,
,,,,,,,129.980750,-2.791554,,,,,,,,,,
,,,,,,,129.971142,-2.774053,,,,,,,,,,
,,,,,,,129.966332,-2.756551,,,,,,,,,,
,,,,,,,129.962919,-2.739049,,,,,,,,,,
,,,,,,,129.959008,-2.721547,,,,,,,,,,
,,,,,,,129.953999,-2.704045,,,,,,,,,,
,,,,,,,129.942625,-2.686543,,,,,,,,,,
,,,,,,,129.938115,-2.669041,,,,,,,,,,
,,,,,,,129.937123,-2.651539,,,,,,,,,,
,,,,,,,129.935324,-2.634037,,,,,,,,,,
,,,,,,,129.934234,-2.616535,,,,,,,,,,
,,,,,,,129.937420,-2.599033,,,,,,,,,,
,,,,,,,129.940970,-2.581532,,,,,,,,,,
,,,,,,,129.943211,-2.564030,,,,,,,,,,
,,,,,,,129.945432,-2.546528,,,,,,,,,,
,,,,,,,129.949495,-2.529026,,,,,,,,,,
,,,,,,,129.954658,-2.511524,,,,,,,,,,
,,,,,,,129.958466,-2.494022,,,,,,,,,,
,,,,,,,129.958833,-2.476520,,,,,,,,,,
,,,,,,,129.959101,-2.459018,,,,,,,,,,
,,,,,,,129.962223,-2.441516,,,,,,,,,,
,,,,,,,129.960585,-2.424014,,,,,,,,,,
,,,,,,,129.963395,-2.406512,,,,,,,,,,
,,,,,,,129.968705,-2.389011,,,,,,,,,,
,,,,,,,129.971158,-2.371509,,,,,,,,,,
,,,,,,,129.983050,-2.354007,,,,,,,,,,
,,,,,,,129.998213,-2.336505,,,,,,,,,,
,,,,,,,130.008063,-2.319003,,,,,,,,,,
,,,,,,,130.019146,-2.301501,,,,,,,,,,
,,,,,,,130.024021,-2.283999,,,,,,,,,,
,,,,,,,130.021842,-2.266497,,,,,,,,,,
,,,,,,,130.019692,-2.248995,,,,,,,,,,
,,,,,,,130.011527,-2.231493,,,,,,,,,,
,,,,,,,130.010544,-2.213991,,,,,,,,,,
,,,,,,,130.021037,-2.196490,,,,,,,,,,
,,,,,,,130.044920,-2.178988,,,,,,,,,,
,,,,,,,130.066032,-2.161486,,,,,,,,,,
,,,,,,,130.100400,-2.143984,,,,,,,,,,
,,,,,,,130.139295,-2.126482,,,,,,,,,,
,,,,,,,130.163373,-2.108980,,,,,,,,,,
,,,,,,,130.191283,-2.091478,,,,,,,,,,
,,,,,,,130.210996,-2.073976,,,,,,,,,,
,,,,,,,130.233705,-2.056474,,,,,,,,,,
,,,,,,,130.252304,-2.038972,,,,,,,,,,
,,,,,,,130.273521,-2.021470,,,,,,,,,,
,,,,,,,130.296526,-2.003969,,,,,,,,,,
,,,,,,,130.324253,-1.986467,,,,,,,,,,
,,,,,,,130.337270,-1.968965,,,,,,,,,,
,,,,,,,130.338036,-1.951463,,,,,,,,,,
,,,,,,,130.326811,-1.933961,,,,,,,,,,
,,,,,,,130.295865,-1.916459,,,,,,,,,,
